fecha,comercial,traspatio,cautiverio,silvestre,total
01/01/2020,0,0,0,2,2
01/02/2020,0,0,0,0,0
01/03/2020,0,0,0,0,0
01/04/2020,1,0,0,0,1
01/05/2020,0,0,0,0,0
01/06/2020,0,0,0,0,0
01/07/2020,0,0,0,0,0
01/08/2020,0,0,0,0,0
01/09/2020,0,0,0,0,0
01/10/2020,0,0,0,0,0
01/11/2020,0,0,1,1,2
01/12/2020,0,0,0,0,0
01/01/2021,0,1,0,0,1
01/02/2021,0,3,1,0,4
01/03/2021,0,2,0,0,2
01/04/2021,2,2,0,0,4
01/05/2021,1,0,0,0,1
01/06/2021,0,1,0,0,1
01/07/2021,0,0,0,0,0
01/08/2021,0,0,0,0,0
01/09/2021,0,0,0,0,0
01/10/2021,0,0,0,0,0
01/11/2021,0,0,0,0,0
01/12/2021,0,0,0,0,0
01/01/2022,0,3,1,0,4
01/02/2022,0,1,0,0,1
01/03/2022,1,1,0,0,2
01/04/2022,10,4,0,0,14
01/05/2022,7,1,1,0,9
01/06/2022,1,1,0,0,2
